ANIO|CLAVE DE FORMULARIO|CLAVE DE LA ENTIDAD|TIPO DE PRODUCTO O SERVICIO|TIPO DE CLIENTE O USUARIO|CLASIFICACION POR GRADO DE RIESGO|PAIS DE NACIONALIDAD|PAIS DE RESIDENCIA|ENTIDAD FEDERATIVA DE RESIDENCIA|ACTIVIDAD ECONOMICA|NUMERO DE CLIENTES O  USUARIOS ACTIVOS AL CIERRE
2025|A2|12345|1|1|1|157|157|19|3342011|3
2025|A2|12345|1|1|1|157|157|19|3342029|1
2025|A2|12345|1|1|1|157|157|19|3352010|1
2025|A2|12345|1|1|1|157|157|19|3400009|9
2025|A2|12345|1|1|1|157|157|19|3411022|2
2025|A2|12345|1|1|1|157|157|19|3413010|3
2025|A2|12345|1|1|1|157|157|19|3422011|2
2025|A2|12345|1|1|1|157|157|19|3423027|2
2025|A2|12345|1|1|1|157|157|19|3429017|2
2025|A2|12345|1|1|1|157|157|19|3500007|6
2025|A2|12345|1|1|1|157|157|19|3516038|5
2025|A2|12345|1|1|1|157|157|19|3516054|9
2025|A2|12345|1|1|1|157|157|19|3531010|2
2025|A2|12345|1|1|1|157|157|19|3591022|5
2025|A2|12345|1|1|1|157|157|19|3593010|2
2025|A2|12345|1|1|1|157|157|19|3593028|1
2025|A2|12345|1|1|1|157|157|19|3595040|1
2025|A2|12345|1|1|1|157|157|19|3595058|1
2025|A2|12345|1|1|1|157|157|19|3596014|2
2025|A2|12345|1|1|1|157|157|19|3599092|11
2025|A2|12345|1|1|1|157|157|19|3600005|13
2025|A2|12345|1|1|1|157|157|19|3621027|11
2025|A2|12345|1|1|1|157|157|19|3631018|1
2025|A2|12345|1|1|1|157|157|19|3632016|2
2025|A2|12345|1|1|1|157|157|19|3639905|5
2025|A2|12345|1|1|1|157|157|19|3639913|1
2025|A2|12345|1|1|1|157|157|19|3692010|3
2025|A2|12345|1|1|1|157|157|19|3699024|22
2025|A2|12345|1|1|1|157|157|19|3699032|2
2025|A2|12345|1|1|1|157|157|19|3700003|17
2025|A2|12345|1|1|1|157|157|19|3711018|1
2025|A2|12345|1|1|1|157|157|19|3731016|1
2025|A2|12345|1|1|1|157|157|19|3731024|6
2025|A2|12345|1|1|1|157|157|19|3791010|2
2025|A2|12345|1|1|1|157|157|19|3793016|4
2025|A2|12345|1|1|1|157|157|19|3793024|2
2025|A2|12345|1|1|1|157|157|19|3800001|2
2025|A2|12345|1|1|1|157|157|19|3813012|2
2025|A2|12345|1|1|1|157|157|19|3814010|2
2025|A2|12345|1|1|1|157|157|19|3819010|6
2025|A2|12345|1|1|1|157|157|19|3892016|3
2025|A2|12345|1|1|1|157|157|19|3900009|5
2025|A2|12345|1|1|1|157|157|19|3932010|1
2025|A2|12345|1|1|1|157|157|19|3932028|5
2025|A2|12345|1|1|1|157|157|19|3933018|5
2025|A2|12345|1|1|1|157|157|19|3961043|2
2025|A2|12345|1|1|1|157|157|19|3961051|1
2025|A2|12345|1|1|1|157|157|19|3997022|3
2025|A2|12345|1|1|1|157|157|19|3999127|2
2025|A2|12345|1|1|1|157|157|19|3999903|7
2025|A2|12345|1|1|1|157|157|19|4100004|6
2025|A2|12345|1|1|1|157|157|19|4111019|47
2025|A2|12345|1|1|1|157|157|19|4111027|74
2025|A2|12345|1|1|1|157|157|19|4111035|2
2025|A2|12345|1|1|1|157|157|19|4111928|9
2025|A2|12345|1|1|1|157|157|19|4111936|8
2025|A2|12345|1|1|1|157|157|19|4111944|19
2025|A2|12345|1|1|1|157|157|19|4111952|10
2025|A2|12345|1|1|1|157|157|19|4112017|5
2025|A2|12345|1|1|1|157|157|19|4113015|8
2025|A2|12345|1|1|1|157|157|19|4121034|1
2025|A2|12345|1|1|1|157|157|19|4123014|1
2025|A2|12345|1|1|1|157|157|19|4129012|1
2025|A2|12345|1|1|1|157|157|19|4193017|6
2025|A2|12345|1|1|1|157|157|19|4199015|11
2025|A2|12345|1|1|1|157|157|19|4199908|1
