ANIO|CLAVE DEL FORMULARIO|CLAVE DE LA ENTIDAD|TIPO DE PRODUCTO O SERVICIO UTILIZADO|TIPO CLIENTE O USUARIO|ACTIVIDAD ECONOMICA|TIPO MONEDA|TIPO DE INSTRUMENTO MONETARIO|OPERACION DE ENTRADA-SALIDA|NUMERO DE OPERACIONES|MONTO DE LAS OPERACIONES
2025|B|12345|1|01|3321015|1|1|1|10|111
2025|B|12345|1|01|3323029|1|1|1|17|369
2025|B|12345|1|01|3323045|1|1|1|61|2311
2025|B|12345|1|01|3324019|1|1|1|13|5722
2025|B|12345|1|01|3341013|1|1|1|13|6200
2025|B|12345|1|01|3342011|1|1|1|6|417
2025|B|12345|1|01|3354917|1|1|1|4|46500
2025|B|12345|1|01|3411030|1|1|1|28|997
2025|B|12345|1|01|3516038|1|1|1|100|122723
2025|B|12345|1|01|3516054|1|1|1|32|23562
2025|B|12345|1|01|3521037|1|1|1|3|5
2025|B|12345|1|01|3531010|1|1|1|26|2175
2025|B|12345|1|01|3591022|1|1|1|5|42
2025|B|12345|1|01|3593010|1|1|1|109|89768
2025|B|12345|1|01|3593028|1|1|1|21|494
2025|B|12345|1|01|3596014|1|1|1|70|4714
2025|B|12345|1|01|3599042|1|1|1|111|36219
2025|B|12345|1|01|3599076|1|1|1|4|7
2025|B|12345|1|01|3599092|1|1|1|23|567
2025|B|12345|1|01|3621027|1|1|1|94|31002
2025|B|12345|1|01|3631018|1|1|1|7|660
2025|B|12345|1|01|3632016|1|1|1|7|271
2025|B|12345|1|01|3639905|1|1|1|3|160
2025|B|12345|1|01|3693018|1|1|1|3|111
2025|B|12345|1|01|3694024|1|1|1|1|1
2025|B|12345|1|01|3699024|1|1|1|92|20981
2025|B|12345|1|01|3699032|1|1|1|54|34054
2025|B|12345|1|01|3711018|1|1|1|2|28
2025|B|12345|1|01|3722023|1|1|1|4|5300
2025|B|12345|1|01|3729011|1|1|1|4|160
2025|B|12345|1|01|3731016|1|1|1|2|670
2025|B|12345|1|01|3791010|1|1|1|11|16050
2025|B|12345|1|01|3793016|1|1|1|33|3836
2025|B|12345|1|01|3793024|1|1|1|98|117907
2025|B|12345|1|05|3793024|1|1|1|13|190
2025|B|12345|1|01|3793032|1|1|1|18|41069
2025|B|12345|1|01|3811016|1|1|1|17|6810
2025|B|12345|1|01|3812014|1|1|1|72|15012
2025|B|12345|1|01|3812022|1|1|1|1|400
2025|B|12345|1|01|3812030|1|1|1|3|31
2025|B|12345|1|01|3815018|1|1|1|48|5109
2025|B|12345|1|01|3816016|1|1|1|3|3030
2025|B|12345|1|01|3819010|1|1|1|81|182271
2025|B|12345|1|01|3821015|1|1|1|23|20421
2025|B|12345|1|01|3892016|1|1|1|88|65508
2025|B|12345|1|01|3932010|1|1|1|11|4461
2025|B|12345|1|01|3932028|1|1|1|3|11
2025|B|12345|1|01|3941029|1|1|1|1|500
2025|B|12345|1|01|3951036|1|1|1|1|10001
2025|B|12345|1|01|3996016|1|1|1|2|1000
2025|B|12345|1|01|3997030|1|1|1|7|47000
2025|B|12345|1|01|3999101|1|1|1|53|1235
2025|B|12345|1|01|4111019|1|1|1|199|182857
2025|B|12345|1|15|4111019|1|1|1|1|250
2025|B|12345|1|01|4111027|1|1|1|182|159383
2025|B|12345|1|01|4111928|1|1|1|217|152627
2025|B|12345|1|01|4111936|1|1|1|10|30855
2025|B|12345|1|01|4111944|1|1|1|143|250736
2025|B|12345|1|01|4111952|1|1|1|17|9656
2025|B|12345|1|01|4112017|1|1|1|28|40728
2025|B|12345|1|01|4113015|1|1|1|23|7595
2025|B|12345|1|01|4121018|1|1|1|1|31
2025|B|12345|1|01|4121026|1|1|1|30|1925
2025|B|12345|1|01|4123014|1|1|1|35|6001
2025|B|12345|1|01|4192019|1|1|1|1|200
2025|B|12345|1|01|4193017|1|1|1|9|39
2025|B|12345|1|01|4194015|1|1|1|10|1916
2025|B|12345|1|01|4199015|1|1|1|10|58
2025|B|12345|1|01|4199908|1|1|1|60|58266
2025|B|12345|1|01|4211017|1|1|1|8|1700
2025|B|12345|1|01|4221016|1|1|1|23|4504
2025|B|12345|1|01|4222014|1|1|1|9|517
2025|B|12345|1|01|4229010|1|1|1|3|40
2025|B|12345|1|01|4291019|1|1|1|32|1695
2025|B|12345|1|01|4299013|1|1|1|1|30
2025|B|12345|1|01|5011010|1|1|1|173|43773
2025|B|12345|1|01|5012018|1|1|1|59|52151
2025|B|12345|1|01|5111018|1|1|1|27|726
2025|B|12345|1|01|6111017|1|1|1|14|29
2025|B|12345|1|01|6112015|1|1|1|16|15146
2025|B|12345|1|01|6112023|1|1|1|3|1500
2025|B|12345|1|05|6114011|1|1|1|11|1326
2025|B|12345|1|01|6119011|1|1|1|7|45
2025|B|12345|1|01|6121024|1|1|1|1|1
2025|B|12345|1|01|6122014|1|1|1|58|55389
2025|B|12345|1|01|6126032|1|1|1|1|30
2025|B|12345|1|01|6131015|1|1|1|23|1151
2025|B|12345|1|01|6131023|1|1|1|882|609176
2025|B|12345|1|05|6131023|1|1|1|15|3053
2025|B|12345|1|15|6131023|1|1|1|2|318
2025|B|12345|1|01|6132013|1|1|1|19|28552
2025|B|12345|1|01|6132021|1|1|1|72|77735
2025|B|12345|1|01|6132039|1|1|1|18|312
2025|B|12345|1|01|6132047|1|1|1|13|2886
2025|B|12345|1|01|6132089|1|1|1|2|1500
2025|B|12345|1|01|6133029|1|1|1|12|220
2025|B|12345|1|01|6134019|1|1|1|14|15831
2025|B|12345|1|01|6135017|1|1|1|26|2597
2025|B|12345|1|01|6136023|1|1|1|6|21308
2025|B|12345|1|01|6211023|1|1|1|554|272428
2025|B|12345|1|01|6212013|1|1|1|95|59595
2025|B|12345|1|15|6212013|1|1|1|8|1600
2025|B|12345|1|01|6215017|1|1|1|1|250
2025|B|12345|1|01|6215025|1|1|1|13|1831
2025|B|12345|1|01|6216023|1|1|1|10|2970
2025|B|12345|1|01|6221014|1|1|1|12|1300
2025|B|12345|1|01|6222012|1|1|1|2|830
2025|B|12345|1|01|6225016|1|1|1|7|102
2025|B|12345|1|01|6225024|1|1|1|4|57
2025|B|12345|1|01|6226022|1|1|1|6|130
2025|B|12345|1|01|6231013|1|1|1|41|2062
2025|B|12345|1|01|6231021|1|1|1|15|15325
2025|B|12345|1|01|6232011|1|1|1|33|8619
2025|B|12345|1|01|6233019|1|1|1|19|7150
2025|B|12345|1|01|6239017|1|1|1|64|51499
2025|B|12345|1|01|6312011|1|1|1|56|154905
2025|B|12345|1|01|6314017|1|1|1|8|373
2025|B|12345|1|01|6322010|1|1|1|2|21000
2025|B|12345|1|01|6325030|1|1|1|40|36019
2025|B|12345|1|05|6325030|1|1|1|3|362
2025|B|12345|1|01|6329016|1|1|1|47|37761
2025|B|12345|1|01|6411011|1|1|1|94|55595
2025|B|12345|1|01|6412019|1|1|1|46|12686
2025|B|12345|1|01|6419015|1|1|1|18|484
2025|B|12345|1|01|6512017|1|1|1|39|43145
2025|B|12345|1|01|6513015|1|1|1|145|20908
2025|B|12345|1|15|6513015|1|1|1|7|1950
2025|B|12345|1|01|6514013|1|1|1|4|7000
2025|B|12345|1|01|6622022|1|1|1|17|8178
2025|B|12345|1|01|6623012|1|1|1|12|81
2025|B|12345|1|01|6628012|1|1|1|2|283
2025|B|12345|1|01|6629010|1|1|1|40|74914
2025|B|12345|1|01|6699021|1|1|1|13|896
2025|B|12345|1|01|6699047|1|1|1|8|733
2025|B|12345|1|01|6711015|1|1|1|3|192
2025|B|12345|1|01|6714019|1|1|1|5|269
2025|B|12345|1|01|6719019|1|1|1|6|880
2025|B|12345|1|01|6729026|1|1|1|21|6774
2025|B|12345|1|01|6732011|1|1|1|14|460
2025|B|12345|1|01|6819017|1|1|1|5|301
2025|B|12345|1|01|6992011|1|1|1|1|320
2025|B|12345|1|01|6999025|1|1|1|1|1
2025|B|12345|1|01|6999075|1|1|1|1|65
2025|B|12345|1|01|6999083|1|1|1|27|5406
2025|B|12345|1|01|6999108|1|1|1|100|26377
2025|B|12345|1|01|6999900|1|1|1|29|15535
2025|B|12345|1|01|7111016|1|1|1|39|17168
2025|B|12345|1|01|7112014|1|1|1|49|15908
2025|B|12345|1|01|7113012|1|1|1|20|5465
2025|B|12345|1|01|7114010|1|1|1|42|265
2025|B|12345|1|01|7115018|1|1|1|5|210
2025|B|12345|1|01|7119010|1|1|1|5|463
